name,refcount
tesseract-data-tgl,1
maliit-framework,2
ruby-childprocess,1
qemu-system-or1k,3
python-clikit,1
lua53-posix,1
xfce4-timer-plugin,1
miniupnpd,1
networkmanager-qt,13
cloud-image-utils,2
wdiff,2
kglobalaccel5,127
suitesparse,29
libpst-docs,1
musl,2
kexi,1
kirigami2,42
libwebsockets,9
retroarch,4
perl-regexp-common,4
python-pexpect,57
alsa-utils,11
libyara.so,2
go-tools,2
kalzium,3
python-simplesoapy,3
libmaa,2
konsolepart5,1
haskell-fsnotify0.3,1
tbb,51
xorg-xdpyinfo,6
vbam-wx,1
firefox-i18n-cs,1
6tunnel,1
ethtool,9
opensearch-analysis-icu-plugin,1
wine,6
dpf-plugins-vst3,2
lynis,1
ginkgo-hpc,1
cowpatty,1
ttf-iosevkatermslab-nerd,1
rt-tests,1
ruby-gobject-introspection,9
kwallet-pam,2
python-dbus-fast,2
qt5-virtualkeyboard,3
libreoffice-fresh-brx,1
faust,3
unibilium,7
perl-data-uuid,2
plymouth-kcm,1
python-responses,3
ruby-red-colors,9
mold,1
perl-gnupg-interface,2
libpangomm-2.48.so,6
dunst,1
haskell-success,1
qgis,1
libffi.so,4194
python-pyqt6-sip,14
ruby-toml,1
python-doit-py,1
stylua,1
libreoffice-fresh-ca,1
glew1.10,1
python-vigra,1
libreoffice-still-vi,1
yazi,1
perl-sys-hostname-long,2
xcompmgr,1
gitolite,1
python-pygaljs,1
ruby-rubydns,1
hevea,1
emscripten,1
rust-musl,1
ziproxy,1
most,1
python-pydoe2,1
pantheon-calculator,1
gambas3-gb-map,1
kmymoney,1
haskell-hw-prim,32
xarchiver,1
rkhunter,1
python-pyvcd,1
xfdesktop,1
ruby-test-unit-ruby-core,1
libpskc.so,3
libreoffice-still-kok,1
libdvdcss,1
perl-text-bibtex,3
libpoly,4
schroedinger,1
polkit-qt5,142
python-zc.lockfile,2
libfontenc,82
gtksourceviewmm,4
zsync,1
zh-autoconvert,1
xorg-xvinfo,1
libreoffice-fresh-is,1
libreoffice-still,120
sirocco,1
git-cliff,1
lxmenu-data,7
ndctl,30
lzlib,4
barrier-headless,2
linbox,4
beanshell,1
lazarus-gtk3,1
libtracefs,33
haskell-rate-limit,2
dvisvgm,24
python-faker,3
thunderbird-i18n-nb-no,1
ruby-docs,1
libproxy-docs,1
intel-oneapi-compiler-dpcpp-cpp-runtime,3
haskell-hspec-attoparsec,1
libevdev,1720
lua52-sec,1
hipblaslt,3
haskell-nanospec,1
totem-plparser,9
python-aaf2,2
profile-cleaner,1
usort,2
bpython,1
stdoutisatty,1
libsonic,7
perl-date-calc,3
haskell-classy-prelude,2
libindicator-gtk3,2
python-snowballstemmer,58
perl-data-structure-util,1
luakit,1
haskell-gi-pango,13
mallard-ducktype,3
ruby-http,1
haskell-base-unicode-symbols,9
libliquidsfz,4
lua51-fluent,2
lib32-libva-intel-driver,1
python-distro,43
python-ipywidgets,10
opensearch-store-smb-plugin,1
tesseract-data-ben,1
perl-anyevent-i3,1
kmahjongg,3
cocogitto,1
gtk-theme-elementary,1
kmix,3
python-rjsmin,4
libswitchboard-2.0.so,2
facile,1
pandoc-plot,1
libgudev,1766
python-hyperlink,41
python-astunparse,10
python-ndg-httpsclient,1
nitroshare,1
freeorion,1
beets,1
firefox-developer-edition-i18n-bg,1
librtosc-cpp.so,1
mod_itk,1
lxsplit,1
lib32-virtualgl,1
ruby-async-http-cache,2
dotnet-host,15
qt5-speech,126
gnu-free-fonts,2
dump_syms,1
python-leather,6
libmms,19
springlobby,1
python-pythondialog,1
tesseract-data-ces,1
gopls,1
qtqr,1
jsonrpc-glib-docs,1
neatvnc,1
libpulse.so,213
tesseract-data-spa,1
monero-gui,1
woff2-cascadia-code,1
nano,2
opensearch-analysis-smartcn-plugin,1
alacarte,1
haskell-sourcemap,1
python-oauth2client,20
roundcubemail-plugin-twofactor-webauthn,1
xfce4-fsguard-plugin,1
python-testresources,1
ruby-faraday-multipart,1
ssr,1
intltool,4
multipath-tools,5
php-legacy-grpc,1
lsb-release,14
haskell-text-zipper,4
